antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'SR2319A'}),frozenset({'SR2351C'}),0.0026592208482914504,0.0026592208482914504,0.0026592208482914504,1.0,376.05,0.0026521493927714624,inf,0.9999999999999999
frozenset({'BX80662I76700KSR2L0'}),frozenset({'BX80662I76700SR2L2'}),0.00711341576917963,0.010171519744714799,0.003722909187608031,0.5233644859813085,51.45391240608393,0.0036505549386594547,2.076698968378736,0.987590272131618
frozenset({'BX80646I34150SR1PJ'}),frozenset({'BX80646G3240SR1K6'}),0.005318441696582901,0.007911182023667066,0.0034569871027788856,0.65,82.16218487394958,0.0034149119424349574,2.83453947993238,0.9931107523675361
frozenset({'BX80646I54440SSR14L'}),frozenset({'BX80646G3240SR1K6'}),0.005052519611753756,0.007911182023667066,0.0026592208482914504,0.5263157894736842,66.5280849181778,0.002619249445964719,2.0944097268389252,0.9899706000267273
frozenset({'SC6531DA'}),frozenset({'HS8292U'}),0.003789389708815317,0.004321233878473607,0.003789389708815317,1.0,231.41538461538462,0.003773014869626845,inf,0.9994661327994662
frozenset({'HS8292U'}),frozenset({'SC6531DA'}),0.004321233878473607,0.003789389708815317,0.003789389708815317,0.8769230769230769,231.41538461538462,0.003773014869626845,8.094211208615874,1.0
frozenset({'WD1003FZEX'}),frozenset({'WD30EZRZ'}),0.003988831272437176,0.0045871559633027525,0.0026592208482914504,0.6666666666666666,145.33333333333331,0.0026409234571334816,2.9862385321100917,0.9970965158189827
frozenset({'WD30EZRZ'}),frozenset({'WD1003FZEX'}),0.0045871559633027525,0.003988831272437176,0.0026592208482914504,0.5797101449275361,145.33333333333331,0.0026409234571334816,2.369819677317304,0.9976958525345622
frozenset({'WD30EZRZ'}),frozenset({'WD5000LPLX'}),0.0045871559633027525,0.0038558702300226034,0.002792181890706023,0.608695652173913,157.8620689655172,0.0027744944125866534,2.5457016649677193,0.9982444590739521
frozenset({'WD5000LPLX'}),frozenset({'WD30EZRZ'}),0.0038558702300226034,0.0045871559633027525,0.002792181890706023,0.7241379310344828,157.86206896551724,0.0027744944125866534,3.6083715596330275,0.9975116314545039
frozenset({'WD1003FZEX'}),frozenset({'WD5000LPLX'}),0.003988831272437176,0.0038558702300226034,0.0025927403270841645,0.65,168.5741379310345,0.002577359911328191,2.846126085057078,0.9980489407802183
frozenset({'WD5000LPLX'}),frozenset({'WD1003FZEX'}),0.0038558702300226034,0.003988831272437176,0.0025927403270841645,0.6724137931034483,168.57413793103447,0.002577359911328191,3.0404551466420338,0.9979157254918067
frozenset({'WD30EZRZ'}),frozenset({'WD2003FZEX'}),0.0045871559633027525,0.003523467623986172,0.002526259805876878,0.5507246376811594,156.30188679245285,0.0025100971103540056,2.2179638946433857,0.9981809362114964
frozenset({'WD2003FZEX'}),frozenset({'WD30EZRZ'}),0.003523467623986172,0.0045871559633027525,0.002526259805876878,0.7169811320754718,156.30188679245285,0.0025100971103540056,3.5171253822629978,0.9971154285072211
frozenset({'WD10JPVX'}),frozenset({'WD5000LPCX'}),0.0033905065815715996,0.003789389708815317,0.002725701369498737,0.8039215686274509,212.15067079463364,0.002712853418750859,5.080674112485039,0.998672374156201
frozenset({'WD5000LPCX'}),frozenset({'WD10JPVX'}),0.003789389708815317,0.0033905065815715996,0.002725701369498737,0.7192982456140351,212.15067079463364,0.002712853418750859,3.5504213203031516,0.9990722429746821
frozenset({'WD30EZRZ'}),frozenset({'WD20EZRZ'}),0.0045871559633027525,0.0031245844967424546,0.002725701369498737,0.5942028985507246,190.17021276595744,0.002711368413091661,2.456585845347313,0.9993256153759693
frozenset({'WD20EZRZ'}),frozenset({'WD30EZRZ'}),0.0031245844967424546,0.0045871559633027525,0.002725701369498737,0.8723404255319148,190.17021276595742,0.002711368413091661,7.797400611620791,0.9978594490846542
